cloud_cover_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,date
62,9.59,1.15,0.402,2013-01-16
78,6.88,0.96,0.405,2013-01-17
98,4.09,0.59,0.41,2013-01-18
91,4.29,0.52,0.412,2013-01-19
59,9.41,1.21,0.411,2013-01-20
56,9.6,1.4,0.41,2013-01-21
47,9.34,1.41,0.411,2013-01-22
37,7.24,1.0,0.412,2013-01-23
21,10.43,1.42,0.405,2013-01-24
87,4.63,0.64,0.407,2013-01-25
96,5.72,0.89,0.403,2013-01-26
99,7.24,0.98,0.415,2013-01-27
100,4.38,0.56,0.419,2013-01-28
96,6.15,0.72,0.414,2013-01-29
92,5.75,0.72,0.402,2013-01-30
49,11.36,1.29,0.399,2013-01-31
85,9.23,1.08,0.399,2013-02-01
66,10.84,1.66,0.402,2013-02-02
68,11.27,1.78,0.403,2013-02-03
97,10.53,1.79,0.401,2013-02-04
84,6.99,1.14,0.397,2013-02-05
66,11.56,1.78,0.393,2013-02-06
34,11.0,1.84,0.388,2013-02-07
18,11.24,2.09,0.382,2013-02-08
46,11.67,1.8,0.394,2013-02-09
66,10.3,1.6,0.385,2013-02-10
97,7.52,1.01,0.402,2013-02-11
69,7.79,1.04,0.406,2013-02-12
87,12.68,1.78,0.393,2013-02-13
86,11.77,1.82,0.384,2013-02-14
99,5.12,0.77,0.395,2013-02-15
96,6.83,0.84,0.404,2013-02-16
88,8.18,1.05,0.396,2013-02-17
88,7.43,0.94,0.392,2013-02-18
82,12.54,1.62,0.391,2013-02-19
99,5.5,0.66,0.404,2013-02-20
72,14.56,1.9,0.404,2013-02-21
100,5.67,0.97,0.399,2013-02-22
94,8.36,1.29,0.396,2013-02-23
57,10.77,1.65,0.394,2013-02-24
52,14.13,2.28,0.385,2013-02-25
25,14.92,2.33,0.378,2013-02-26
82,8.81,1.18,0.397,2013-02-27
99,6.17,0.78,0.407,2013-02-28
38,15.4,1.83,0.397,2013-03-01
26,16.97,2.29,0.388,2013-03-02
99,8.68,1.3,0.383,2013-03-03
75,11.88,1.43,0.381,2013-03-04
66,11.98,1.18,0.378,2013-03-05
29,18.21,2.37,0.379,2013-03-06
92,17.59,2.68,0.378,2013-03-07
98,8.64,1.52,0.374,2013-03-08
59,11.5,1.83,0.374,2013-03-09
54,13.22,2.05,0.387,2013-03-10
57,12.32,2.03,0.399,2013-03-11
99,7.68,1.31,0.423,2013-03-12
37,16.38,2.46,0.416,2013-03-13
80,16.95,3.04,0.403,2013-03-14
99,8.91,1.88,0.402,2013-03-15
70,11.36,1.54,0.425,2013-03-16
84,8.96,0.94,0.418,2013-03-17
31,20.0,2.45,0.414,2013-03-18
71,10.5,1.89,0.414,2013-03-19
56,13.23,2.04,0.412,2013-03-20
72,13.06,2.47,0.406,2013-03-21
