epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,3371.07,1.36754,1.0501,1.32864,0.75943,0.70967,0.77068,0.43228,1.51175,1.0516,1.33057,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
34,6138.24,1.3821,1.06173,1.34219,0.7787,0.69101,0.76776,0.43512,1.46327,1.0394,1.31995,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
34,3588.44,1.35835,1.04276,1.33367,0.76125,0.69896,0.76733,0.43083,1.52477,1.04371,1.33425,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
35,6347.46,1.369,1.05548,1.33813,0.78468,0.69889,0.77308,0.4394,1.45018,1.01058,1.31682,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
35,3800.8,1.37947,1.05589,1.34084,0.76417,0.70608,0.76663,0.43433,1.51529,1.05065,1.32488,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
36,6557.69,1.36106,1.04508,1.33318,0.77403,0.69552,0.76876,0.43633,1.45332,1.02169,1.31911,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337
36,4014.28,1.36764,1.05072,1.33781,0.77144,0.70098,0.76944,0.43777,1.51391,1.02835,1.3233,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337
37,6771.19,1.35623,1.03234,1.32625,0.78259,0.6871,0.76792,0.43684,1.4418,1.00377,1.31024,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
37,4232.57,1.35519,1.03426,1.32837,0.76677,0.70839,0.76932,0.43588,1.50947,1.07254,1.32343,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
38,6985.22,1.36154,1.03016,1.33089,0.77575,0.69338,0.76705,0.43974,1.43998,0.98841,1.30748,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371
38,4444.57,1.35963,1.0352,1.32718,0.76886,0.70708,0.7699,0.43555,1.51361,1.0623,1.32914,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371
39,7192.06,1.34807,1.02377,1.32466,0.77848,0.69938,0.7707,0.43953,1.44041,0.97534,1.30829,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
39,4657.82,1.34213,1.01244,1.32194,0.76186,0.71673,0.77045,0.43874,1.50126,1.03697,1.32403,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
40,7396.26,1.33676,0.99976,1.31632,0.78472,0.69384,0.77147,0.43901,1.44133,0.97094,1.30628,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
40,4872.74,1.33797,1.01058,1.31322,0.75815,0.72067,0.7728,0.43872,1.49624,1.02167,1.319,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
41,7600.73,1.33222,0.9941,1.30849,0.77507,0.70511,0.77192,0.4397,1.45449,0.95871,1.30611,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
